TRANSACTION_ID_SHORT,CUSTOMER_NUMBER_CRM,DATE_TRANSACTION_PROCESSED,RETURN_ORIGINAL_TRANSACTION_ID_SHORT,RETURN_TRANSACTION_ID_SHORT
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,
106-190322-5-105141,999930366573,2019-03-22,,106-190323-5-105174
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,,106-190323-5-105176
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105176,0,2019-03-23,106-190323-5-105174,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
106-190323-5-105174,0,2019-03-23,106-190322-5-105141,
565-200304-1-101210,999944168746,2020-03-04,,
565-200304-1-101210,999944168746,2020-03-04,,
565-200304-1-101210,999944168746,2020-03-04,,523-200730-2-138007
565-200304-1-101210,999944168746,2020-03-04,,523-200730-2-138007
565-200304-1-101210,999944168746,2020-03-04,,523-200730-2-138007
523-200730-2-138007,0,2020-07-30,565-200304-1-101210,
523-200730-2-138007,0,2020-07-30,565-200304-1-101210,
523-200730-2-138007,0,2020-07-30,,560-200803-2-53525
523-200730-2-138007,0,2020-07-30,,560-200803-2-53525
523-200730-2-138007,0,2020-07-30,,560-200803-2-53525
523-200730-2-138007,0,2020-07-30,,560-200803-2-53525
523-200730-2-138007,0,2020-07-30,,560-200803-2-53525
523-200730-2-138007,0,2020-07-30,,560-200803-2-53525
523-200730-2-138007,0,2020-07-30,,560-200803-2-53525
523-200730-2-138007,0,2020-07-30,,560-200803-2-53525
523-200730-2-138007,0,2020-07-30,,560-200803-2-53525
523-200730-2-138007,0,2020-07-30,565-200304-1-101210,
560-200803-2-53525,0,2020-08-03,523-200730-2-138007,
560-200803-2-53525,0,2020-08-03,523-200730-2-138007,
560-200803-2-53525,0,2020-08-03,523-200730-2-138007,
560-200803-2-53525,0,2020-08-03,523-200730-2-138007,
560-200803-2-53525,0,2020-08-03,523-200730-2-138007,
560-200803-2-53525,0,2020-08-03,523-200730-2-138007,
560-200803-2-53525,0,2020-08-03,523-200730-2-138007,
560-200803-2-53525,0,2020-08-03,523-200730-2-138007,
560-200803-2-53525,0,2020-08-03,523-200730-2-138007,